Date,Open,High,Low,Close,Volume,Year,Month,DayOfWeek,Quarter,WeekOfYear,Daily_Return,Log_Return,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Pct,ATR_14,Volume_SMA_20,Volume_Ratio
2023-11-15,19651.400390625,19693.19921875,19579.650390625,19675.44921875,291500,2023,11,2,4,46,1.1926753508604282,0.011856190289938534,19336.6724609375,19578.176015625,18692.616328125,19402.722843455136,19420.541562307943,59.633203177904065,-17.81871885280634,-73.82793032842059,56.00921147561425,19839.18603572191,19336.6724609375,18834.158886153094,0.05197518609259657,0.8370821952002429,156.84154932248038,207565.0,1.40437935104666
2023-11-16,19674.69921875,19875.25,19627.0,19765.19921875,282700,2023,11,3,4,46,0.4561522280999375,0.004551150068331243,19334.357421875,19584.773984375,18700.8495703125,19458.488439654346,19446.071759081427,62.225430689027576,12.416680572918267,-56.57900814815282,68.99568872107109,19828.455846564848,19334.357421875,18840.258997185152,0.05111092278979204,0.9359878268640961,163.37072437087463,212410.0,1.330916623511134
2023-11-17,19674.75,19806.0,19667.44921875,19731.80078125,236800,2023,11,4,4,46,-0.16897597201204206,-0.0016911889743673853,19337.39248046875,19588.833984375,18708.9170703125,19500.536492207524,19467.236871834655,60.66423295256923,33.29962037286896,-38.603282443948466,71.90290281681743,19840.39306851226,19337.39248046875,18834.391892425236,0.052023620925267564,0.892055506649957,161.59787129081215,214305.0,1.1049672196169011
2023-11-20,19731.150390625,19756.44921875,19670.5,19694.0,173800,2023,11,0,4,47,-0.19157289123818977,-0.0019175662679732529,19340.85751953125,19591.2159765625,18717.92732421875,19530.30010879098,19484.034140587642,58.864119153825065,46.26596820333725,-21.62943231449132,67.89540051782858,19852.605814901337,19340.85751953125,18829.109224161166,0.05291888375200526,0.8450353266085268,156.1943961093256,211480.0,0.8218271231322111
2023-11-21,19770.900390625,19829.099609375,19754.05078125,19783.400390625,195000,2023,11,1,4,47,0.45394734754240496,0.004529201141300913,19352.89501953125,19594.66296875,18728.822578125,19569.238613688518,19506.209418368187,61.754598056702285,63.02919532033047,-4.697706787526961,67.72690210785743,19893.571889921983,19352.89501953125,18812.218149140517,0.05587555451988688,0.8981170590695282,154.68762562830236,211315.0,0.9227929867733006
2023-11-22,19784.0,19825.55078125,19703.849609375,19811.849609375,184500,2023,11,2,4,47,0.14380348265852216,0.0014370018446946907,19379.4,19596.3589453125,18739.637080078126,19606.56338225567,19528.84943251684,62.653908771704565,77.7139497388307,11.784624517744573,65.92932522108613,19954.410402135334,19379.4,18804.38959786467,0.05934243600269695,0.8760363358376415,152.33145036020935,211740.0,0.8713516576933975
2023-11-23,19828.44921875,19875.150390625,19786.75,19802.0,170000,2023,11,3,4,47,-0.04971574875239915,-0.0004972811112830416,19413.39248046875,19595.9999609375,18750.336328125,19636.630554216335,19549.082807885963,62.10937969373457,87.54774633037232,26.937248880270126,60.610497450102194,20003.729407439656,19413.39248046875,18823.05555349784,0.06081749262163511,0.829140446562648,147.76494609340867,208975.0,0.8134944371336285
2023-11-24,19809.599609375,19832.849609375,19768.849609375,19794.69921875,145900,2023,11,4,4,47,-0.03686890844358803,-0.0003687570669664962,19460.26494140625,19591.966953125,18761.2283203125,19660.948810298436,19567.276616098115,61.68145971734371,93.67219420032052,40.28423794428021,53.38795625604031,20014.277261651445,19460.26494140625,18906.252621161057,0.056937798320145554,0.8018292780887397,141.7817356581652,201250.0,0.7249689440993788
2023-11-28,19844.650390625,19916.849609375,19800.0,19889.69921875,229600,2023,11,1,4,48,0.4799264638990497,0.004787784883390938,19502.38740234375,19589.896953125,18772.624814453124,19696.141180829447,19591.159771850107,65.05530792641562,104.9814089793399,53.22367215129215,51.757736828047754,20052.477336325763,19502.38740234375,18952.297468361736,0.056412573766830724,0.8520440863210876,140.37949672722482,202470.0,1.133995159776757
2023-11-29,19976.55078125,20104.650390625,19956.30078125,20096.599609375,236200,2023,11,2,4,48,1.040238911355451,0.010348656573869122,19550.17236328125,19590.4289453125,18783.83755859375,19757.750169836454,19628.59975981491,71.03652584568044,129.15041002154248,68.40901972534222,60.741390296200265,20131.50564374081,19550.17236328125,18968.83908282169,0.05947091101369603,0.9699776053263154,145.7060449520659,205275.0,1.1506515649738156
2023-11-30,20108.5,20158.69921875,20015.849609375,20133.150390625,486600,2023,11,3,4,48,0.18187545137213768,0.0018171025823992028,19602.84990234375,19591.0299609375,18795.6803125,19815.50404995777,19665.97388061566,71.9499288016151,149.53016934210973,84.63324964869572,64.896919693414,20194.908702812503,19602.84990234375,19010.791101875,0.060405380178722365,0.9478444437118348,145.50201383941834,219305.0,2.2188276601080688
2023-12-01,20194.099609375,20291.55078125,20183.69921875,20267.900390625,265800,2023,12,4,4,48,0.6692941610506598,0.00667064331563437,19666.78740234375,19592.5409765625,18808.412314453126,19885.1034869835,19710.56102950524,75.07118990910325,174.54245747825917,102.61509121460841,71.92736626365075,20256.121450098814,19666.78740234375,19077.453354588688,0.059931908114777305,1.0099934329019813,146.42332646695988,222890.0,1.1925164879536991
2023-12-04,20601.94921875,20702.650390625,20507.75,20686.80078125,381100,2023,12,0,4,49,2.066816900376933,0.020457480483773903,19744.46494140625,19603.6109765625,18822.487822265626,20008.441532255267,19782.875085190037,81.83734719171679,225.56644706523002,127.20536238473274,98.36108468049729,20433.18291433404,19744.46494140625,19055.746968478463,0.06976314374399414,1.1841231657116573,167.018088862177,229665.0,1.6593734352208651
2023-12-05,20808.900390625,20864.05078125,20711.150390625,20855.099609375,421000,2023,12,1,4,49,0.8135565760247543,0.008102650447744338,19825.68994140625,19622.6849609375,18837.29607421875,20138.696621042916,19862.29912401855,83.7461135470121,276.3974970243653,157.04378931265927,119.35370771170602,20626.83462308358,19825.68994140625,19024.54525972892,0.08081884504852754,1.1424617747031083,167.74893965773578,241240.0,1.7451500580334935
2023-12-06,20950.75,20961.94921875,20852.150390625,20937.69921875,359200,2023,12,2,4,49,0.39606432442005346,0.003952820545223537,19901.98740234375,19646.591953125,18852.7020703125,20261.62009761324,19941.958390294953,84.60144612143958,319.66170731828606,189.56737291378465,130.0943344045014,20813.903660757474,19901.98740234375,18990.07114393003,0.09164072310751553,1.067876604266201,163.6096459768261,250165.0,1.4358523374572782
2023-12-07,20932.400390625,20941.25,20850.80078125,20901.150390625,275000,2023,12,3,4,49,-0.17455990623970186,-0.0017471243957791426,19976.7099609375,19671.1299609375,18868.3533203125,20360.009373461202,20013.00964957866,82.5318782864475,346.99972388254173,221.05384310753607,125.94588077500566,20956.434757896735,19976.7099609375,18996.985163978265,0.09808670185180556,0.9717857670626889,158.38390117490994,253980.0,1.0827624222379715
2023-12-08,20934.099609375,21006.099609375,20862.69921875,20969.400390625,292400,2023,12,4,4,49,0.3265370504707432,0.0032600507599202964,20053.00498046875,19697.026953125,18883.55107421875,20453.761837640246,20083.853408174684,83.35091996609452,369.9084294655622,250.8247603791413,119.08366908642091,21090.69532113198,20053.00498046875,19015.31463980552,0.10349474721358927,0.9415553341137121,157.31365042134493,258850.0,1.1296117442534286
2023-12-11,20965.30078125,21026.099609375,20923.69921875,20997.099609375,212900,2023,12,0,4,50,0.1320935183362959,0.001320063516009915,20133.094921875,19723.6749609375,18898.45732421875,20537.352264060977,20151.501274930262,83.68526084198322,385.8509891307149,277.830006129456,108.02098300125886,21202.15601422655,20133.094921875,19064.033829523447,0.10619937933039761,0.9040950950705254,153.39127472160604,259075.0,0.8217697577921451
2023-12-12,21018.55078125,21037.900390625,20867.150390625,20906.400390625,244900,2023,12,1,4,50,-0.43196070141755527,-0.004328963470418101,20207.1474609375,19747.473984375,18912.810078125,20594.128898916977,20207.41972794469,78.15106117539767,386.7091709722881,299.60583909802244,87.10333187426568,21275.031391493667,20207.1474609375,19139.263530381333,0.10569368414027726,0.827401185503054,154.63118367006274,263710.0,0.9286716468848356
2023-12-13,20929.75,20950.0,20769.5,20926.349609375,260300,2023,12,2,4,50,0.09542158562574343,0.0009537608817135473,20281.28740234375,19775.5299609375,18927.720830078124,20645.23977744898,20260.673793235823,78.48803255149446,384.5659842131572,316.59786812104943,67.96811609210778,21332.583523192054,20281.28740234375,19229.991281495448,0.10367153721482324,0.8067937730573671,156.47895626505826,267260.0,0.9739579435755444
2023-12-14,21110.400390625,21210.900390625,21074.44921875,21182.69921875,334400,2023,12,3,4,50,1.2250087289956912,0.012175662163725103,20356.64990234375,19806.4179296875,18944.411328125,20727.925845341448,20328.97197290354,82.2717592140087,398.953872437909,333.0690689844214,65.88480345348762,21439.05748717353,20356.64990234375,19274.24231751397,0.10634437297122819,0.881579604570193,165.62694376398264,269405.0,1.2412538742785026
2023-12-15,21287.44921875,21492.30078125,21235.30078125,21456.650390625,508800,2023,12,4,4,50,1.2932779200891975,0.012849864921501506,20441.2224609375,19844.9759375,18962.561083984376,20840.03731384661,20412.503707549575,85.25626443063625,427.53360629703457,351.96197644694405,75.57162985009052,21587.971579815636,20441.2224609375,19294.473342059366,0.1121996613528897,0.9427419707463532,175.9108451022696,280710.0,1.8125467564390296
2023-12-18,21434.80078125,21482.80078125,21365.349609375,21418.650390625,249700,2023,12,0,4,51,-0.17710126840955187,-0.0017725827811074615,20525.56494140625,19884.626953125,18981.88283203125,20929.054710274057,20487.033091481087,83.1648428300714,442.0216187929691,369.9739049161491,72.04771387682001,21699.019743785033,20525.56494140625,19352.110139027467,0.11434080433143849,0.8805367907687288,171.73515415746462,281355.0,0.8874908922891009
2023-12-19,21477.650390625,21505.05078125,21337.75,21453.099609375,249800,2023,12,1,4,51,0.1608374856572503,0.001607082806947435,20613.519921875,19922.7739453125,19001.592080078124,21009.677002443434,20558.593574288043,83.55860537814253,451.0834281553907,386.1958095639974,64.88761859139333,21788.175582300813,20613.519921875,19438.864261449184,0.11396943994793186,0.8573726819635178,171.41841323550287,285155.0,0.8760147989689818
2023-12-20,21543.5,21593.0,21087.349609375,21150.150390625,363900,2023,12,2,4,51,-1.412146609423337,-0.014222122733049722,20681.857421875,19952.706953125,19020.013828125,21031.288292932906,20602.41259772041,68.40602120758297,428.8756952124968,394.7317866936973,34.14390851879949,21813.630645498466,20681.857421875,19550.084198251534,0.10944599419067656,0.7068846297894914,195.2921259061812,293600.0,1.2394414168937329
2023-12-21,21033.94921875,21288.349609375,20976.80078125,21255.05078125,277500,2023,12,3,4,51,0.49597940765233606,0.004947534816775346,20754.01748046875,19987.5609765625,19039.3255859375,21065.713291135537,20650.75616687075,70.40714666086036,414.9571242647871,398.7768542079153,16.180270056871848,21837.719349143972,20754.01748046875,19670.315611793525,0.10443297252641102,0.7311674987668619,203.59617606466827,298250.0,0.9304274937133278
2023-12-22,21295.849609375,21390.5,21232.44921875,21349.400390625,284700,2023,12,4,4,51,0.44389265566107117,0.004429103580375731,20831.3875,20020.7519921875,19059.552841796874,21109.35746028776,20702.507590852547,72.11773582189667,406.8498694352129,400.3914572533748,6.458412181838071,21851.237472201174,20831.3875,19811.537527798828,0.09791474256826847,0.7539652423125317,200.34293357790625,303985.0,0.936559369705742
2023-12-26,21365.19921875,21477.150390625,21329.44921875,21441.349609375,219500,2023,12,1,4,52,0.43068759341071683,0.004297627887901326,20913.72001953125,20053.3519921875,19079.505087890626,21160.43317553195,20757.236629261617,73.71251491582858,403.1965462703338,400.9524750567666,2.2440712135671674,21847.76799859214,20913.72001953125,19979.672040470363,0.08932394410832542,0.7824424449663921,196.5828077419844,307665.0,0.7134383176506915
2023-12-27,21497.650390625,21675.75,21495.80078125,21654.75,256500,2023,12,2,4,52,0.9952749920727699,0.009903547502138933,21001.97255859375,20090.5669921875,19101.1693359375,21236.481917757803,20823.719101168164,77.00045298349558,412.76281658963853,403.31454336334104,9.448273226297488,21863.014340906317,21001.97255859375,20140.93077628118,0.08199627724589521,0.8790625814075105,199.2840636621998,309010.0,0.8300702242645869
2023-12-28,21715.0,21801.44921875,21678.0,21778.69921875,393100,2023,12,3,4,52,0.5723881307796219,0.0057075621422148105,21086.0775390625,20131.1199609375,19122.091083984375,21319.899964064294,20894.45836913719,78.66928730337013,425.4415949271024,407.7399536760933,17.701641251009107,21904.50235870907,21086.0775390625,20267.652719415928,0.07762703311039407,0.923143129986334,195.52800331132838,316855.0,1.2406305723438165
2023-12-29,21737.650390625,21770.30078125,21676.900390625,21731.400390625,270900,2023,12,4,4,52,-0.21717930740454694,-0.0021741548367498844,21165.9900390625,20171.11296875,19142.19083984375,21383.20772199671,20956.454074432586,76.3914130091147,426.75364756412455,411.54269245369954,15.210955110425004,21904.87395504149,21165.9900390625,20427.10612308351,0.06981803493390633,0.8826110836459031,188.8330622265906,306070.0,0.8850916457019636
2024-01-01,21727.75,21834.349609375,21680.849609375,21741.900390625,154000,2024,1,0,1,1,0.048317180721269004,0.0004830551173010514,21239.6900390625,20209.7209765625,19162.12833984375,21438.391209477988,21014.63528303943,76.55371438096844,423.75592643855634,413.98533925067096,9.770587187885383,21894.85736469292,21239.6900390625,20584.52271343208,0.06169273887005732,0.8832687711335862,186.30927206754842,300480.0,0.5125133120340788
2024-01-02,21751.349609375,21755.599609375,21555.650390625,21665.80078125,263700,2024,1,1,1,1,-0.3500136051024061,-0.0035062758581720864,21288.6400390625,20249.615,19182.509345703125,21473.377297442912,21062.869764388364,72.65522070364781,410.5075330545478,413.28977801144634,-2.7822449568985235,21917.00027110647,21288.6400390625,20660.279807018527,0.05903244461750436,0.8001150637434902,187.28355397343782,294610.0,0.8950816333457792
2024-01-03,21661.099609375,21677.0,21500.349609375,21517.349609375,311900,2024,1,2,1,1,-0.685186637566948,-0.006875448193459907,21321.7525390625,20287.4680078125,19203.031591796876,21480.142268509386,21096.534938091077,65.6335224026871,383.60733041830827,407.35328849281876,-23.745958074510497,21924.513671904642,21321.7525390625,20718.99140622036,0.056539548682769177,0.6622508981212996,186.52404230569226,289155.0,1.0786602341304836
2024-01-04,21605.80078125,21685.650390625,21564.55078125,21658.599609375,339200,2024,1,3,1,1,0.6564470186349425,0.006543017882762483,21357.79755859375,20329.7869921875,19225.5530859375,21507.597244027173,21138.169358186184,68.73016081255125,369.4278858409889,399.76820796245283,-30.34032212146394,21950.518242153998,21357.79755859375,20765.0768750335,0.05550391438388318,0.7537468820679978,185.22238080171425,288155.0,1.1771442452846559
2024-01-05,21705.75,21749.599609375,21629.19921875,21710.80078125,309300,2024,1,4,1,1,0.24101822286055619,0.0024072823978970102,21398.280078125,20378.3680078125,19248.8905859375,21538.859326676837,21180.586500635356,69.81273031755941,358.2728260414806,391.4691315782584,-33.1963055367778,21970.974934927566,21398.280078125,20825.585221322435,0.05352718580293928,0.772850977630431,180.59223864623465,289870.0,1.0670300479525305
